time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.61365668104e-06,-4.99367436028e-08,10.001929107,6.28285417794,0.00110151074312,0.0,-0.000120637311851,-1.45072051546e-05,0.0643015004448,-0.0198356348427,0.04103938522,0.0,423.5214307809562,427.0359949460263,426.41179158986887,424.7143156458715
0.12000000000000001,-4.2162069373e-05,-1.23665991503e-05,10.0088702389,6.28165458024,0.00429646065315,0.0,-0.00152806809714,-0.000518420475591,0.167058656271,-0.0203104666016,0.0704522966581,0.0,437.0402907027878,439.4862935830511,437.3229176446942,437.28339325288954
0.18,-0.000231525287304,-7.72178042839e-05,10.0204832071,6.28051136025,0.00828548187327,0.0,-0.00517587209168,-0.00175540208846,0.220028640678,-0.0166518128313,0.0570552569661,0.0,422.4959591678499,421.3430194742848,421.43460247058783,421.75068811995243
0.23999999999999996,-0.00073716465127,-0.000245043701354,10.0378990923,6.279547187,0.0113290595375,0.0,-0.0120327155828,-0.0039446768331,0.36046266061,-0.0149298055585,0.0334176946246,0.0,450.41561285183013,448.50173109352136,449.7226011493092,449.862130416687
0.3,-0.00168632223515,-0.000555637611606,10.0612764261,6.2784365902,0.0128859387893,0.0,-0.0197834376853,-0.00650337467039,0.41875923265,-0.0268546048862,0.00360365336173,0.0,424.9407410195671,422.3778683311896,424.1065281079142,423.0812445123018
0.36000000000000004,-0.00319357688341,-0.00107050075878,10.0934396698,6.27680405833,0.0137397071893,0.0,-0.0305292563295,-0.0108559335851,0.653241988626,-0.0279268611752,0.029773651494,0.0,476.3483300669638,478.3449910868588,478.51384556243573,478.4321074158612
0.4200000000000001,-0.00531408399714,-0.00185919606561,10.1355002108,6.27513009581,0.0152398937934,0.0,-0.0403224204997,-0.0156032262027,0.748714122536,-0.0278444692063,0.0131645617621,0.0,437.39903245804203,436.01393658300856,435.17871451629475,435.18539019797356
0.48000000000000015,-0.00814461953948,-0.00301885047963,10.1894686358,6.27315618269,0.0155520756301,0.0,-0.0541099030386,-0.0232867132556,1.05000249566,-0.0456447524524,-0.0197481989846,0.0,498.42204468257046,496.01112591984213,498.08391546516305,496.78023581826324
0.5400000000000001,-0.0116832175023,-0.00461618182679,10.2538355143,6.27074820736,0.0145846968025,0.0,-0.063742564674,-0.03019727866,1.09551604542,-0.0309190173083,-0.0097122611222,0.0,420.3238135778589,421.1926296376911,419.4516799756838,420.7274394155247
0.6000000000000002,-0.0158612767373,-0.00673856874675,10.3263029659,6.26965870031,0.0141763323162,0.0,-0.0754638974312,-0.0407139742235,1.31983219903,-0.000400570827853,-0.00154885549117,0.0,476.1218953634644,476.74608138919854,474.30514889829766,476.6429132105619
0.6600000000000003,-0.0206666394367,-0.00944545809071,10.4073511677,6.26971473865,0.0148560149886,0.0,-0.0847498644527,-0.0495130907209,1.3817006863,0.00347791359285,0.0292019638475,0.0,424.8827065483553,427.5106685918515,426.4931000418695,426.8241821045015
0.7200000000000003,-0.0260988906398,-0.0127229790953,10.4954598401,6.2702802161,0.0165178584392,0.0,-0.096514852652,-0.0596887157016,1.5550323903,0.0192462285424,0.0245048633489,0.0,461.108486448002,460.7374737334303,461.4497224919569,462.6925718461541
0.7800000000000004,-0.0322616561768,-0.0165846019513,10.5932268097,6.27187428826,0.0181405577836,0.0,-0.109076685373,-0.0688761744594,1.70365524635,0.0382119650905,0.0316938603139,0.0,453.74495995302607,454.32183111225265,454.151853799495,455.67052700749025
0.8400000000000004,-0.0393082053952,-0.0210127123067,10.7049125575,6.2739349438,0.0200524484876,0.0,-0.126054373301,-0.0784290783363,2.01869917614,0.0251995630354,0.0322045790978,0.0,502.27461794082546,502.3118930121129,504.7007449635614,503.7611076869855
0.9000000000000005,-0.0473546068735,-0.0259304830004,10.8319901162,6.27539806223,0.0225361505976,0.0,-0.142414250679,-0.0853201483839,2.21685165943,0.0227051453531,0.055319466835,0.0,469.6395274921003,471.42963538649656,471.35790613256387,471.1651531606149
0.9600000000000005,-0.0564299702196,-0.0312221966551,10.9702426426,6.27698148596,0.0257233463781,0.0,-0.160458010699,-0.0909004589446,2.39120879869,0.0328947330865,0.0483135962329,0.0,465.527985255791,464.98119554786405,463.51507228789694,464.3152396408122
1.0200000000000005,-0.0665507417957,-0.0367860264673,11.1148124382,6.27885771139,0.0288828715135,0.0,-0.17718089016,-0.0943818514935,2.42769958636,0.0278067123771,0.0601738680836,0.0,421.03529832836654,422.062090725672,422.7304763041219,422.2922180065649
1.0800000000000005,-0.077967551277,-0.0425560371697,11.269373452,6.28019849254,0.032825578159,0.0,-0.203857180126,-0.0977481331178,2.72366094198,0.00823453906624,0.074960769055,0.0,500.58289029607545,501.66032796608386,500.7914777461249,499.36582917150116
1.1400000000000006,-0.0908972861637,-0.0484813417539,11.4358563222,6.28049755138,0.0373962397427,0.0,-0.227589644405,-0.0997198250776,2.8255027247,-0.00247169715361,0.0785054499106,0.0,444.9138704554761,445.20855576485707,444.83594556926965,443.95829655678574
1.2000000000000006,-0.1052603774,-0.0545151038431,11.6061981935,6.28009061756,0.041794059144,0.0,-0.251595678477,-0.101429033678,2.85247242918,-0.0172148742083,0.0600479013903,0.0,421.21478749667335,419.6199349425288,422.59397633273863,421.32130757469054
